cells,ens_id,gene
T_memory,ENSG00000112130,RNF8
T_memory,ENSG00000198937,CCDC167
T_memory,ENSG00000156639,ZFAND3
T_memory,ENSG00000124767,GLO1
T_memory,ENSG00000112167,SAYSD1
T_memory,ENSG00000124587,PEX6
T_memory,ENSG00000171453,POLR1C
T_memory,ENSG00000196284,SUPT3H
T_memory,ENSG00000112782,CLIC5
T_memory,ENSG00000031691,CENPQ
T_memory,ENSG00000112210,RAB23
T_memory,ENSG00000112309,B3GAT2
T_memory,ENSG00000229852,AC019205.1
T_memory,ENSG00000111850,SMIM8
T_memory,ENSG00000228439,TSTD3
T_memory,ENSG00000085377,PREP
T_memory,ENSG00000135535,CD164
T_memory,ENSG00000135596,MICAL1
T_memory,ENSG00000009413,REV3L
T_memory,ENSG00000188820,CALHM6
T_memory,ENSG00000111832,RWDD1
T_memory,ENSG00000164465,DCBLD1
T_memory,ENSG00000111875,ASF1A
T_memory,ENSG00000111906,HDDC2
T_memory,ENSG00000111912,NCOA7
T_memory,ENSG00000203756,TMEM244
T_memory,ENSG00000198945,L3MBTL3
T_memory,ENSG00000164483,SAMD3
T_memory,ENSG00000118507,AKAP7
T_memory,ENSG00000146409,SLC18B1
T_memory,ENSG00000135541,AHI1
T_memory,ENSG00000272189,AL024508.2
T_memory,ENSG00000197442,MAP3K5
T_memory,ENSG00000146386,ABRACL
T_memory,ENSG00000055211,GINM1
T_memory,ENSG00000112031,MTRF1L
T_memory,ENSG00000074706,IPCEF1
T_memory,ENSG00000272047,GTF2H5
T_memory,ENSG00000120437,ACAT2
T_memory,ENSG00000112110,MRPL18
T_memory,ENSG00000198818,SFT2D1
T_memory,ENSG00000249141,AL159163.1
T_memory,ENSG00000026297,RNASET2
T_memory,ENSG00000112486,CCR6
T_memory,ENSG00000130396,AFDN
T_memory,ENSG00000185127,C6orf120
T_memory,ENSG00000112584,FAM120B
T_memory,ENSG00000229043,AC091729.3
T_memory,ENSG00000002822,MAD1L1
T_memory,ENSG00000272968,RBAK-RBAKDN
T_memory,ENSG00000157954,WIPI2
T_memory,ENSG00000136238,RAC1
T_memory,ENSG00000136240,KDELR2
T_memory,ENSG00000136247,ZDHHC4
T_memory,ENSG00000146574,CCZ1B
T_memory,ENSG00000106460,TMEM106B
T_memory,ENSG00000146530,VWDE
