cells,ens_id,gene
T_naive,ENSG00000144815,NXPE3
T_naive,ENSG00000114423,CBLB
T_naive,ENSG00000196776,CD47
T_naive,ENSG00000163519,TRAT1
T_naive,ENSG00000144827,ABHD10
T_naive,ENSG00000186265,BTLA
T_naive,ENSG00000163607,GTPBP8
T_naive,ENSG00000239453,SIDT1-AS1
T_naive,ENSG00000180353,HCLS1
T_naive,ENSG00000173226,IQCB1
T_naive,ENSG00000160124,CCDC58
T_naive,ENSG00000196981,WDR5B
T_naive,ENSG00000272758,AC083798.2
T_naive,ENSG00000173193,PARP14
T_naive,ENSG00000169087,HSPBAP1
T_naive,ENSG00000206417,H1FX-AS1
T_naive,ENSG00000113971,NPHP3
T_naive,ENSG00000129055,ANAPC13
T_naive,ENSG00000158234,FAIM
T_naive,ENSG00000051382,PIK3CB
T_naive,ENSG00000155893,PXYLP1
T_naive,ENSG00000177311,ZBTB38
T_naive,ENSG00000163754,GYG1
T_naive,ENSG00000070087,PFN2
T_naive,ENSG00000240137,ERICH6-AS1
T_naive,ENSG00000272990,AC084036.1
T_naive,ENSG00000243926,TIPARP-AS1
T_naive,ENSG00000243150,AC106707.1
T_naive,ENSG00000079257,LXN
T_naive,ENSG00000186432,KPNA4
T_naive,ENSG00000173890,GPR160
T_naive,ENSG00000121858,TNFSF10
T_naive,ENSG00000121864,ZNF639
T_naive,ENSG00000172578,KLHL6
T_naive,ENSG00000114770,ABCC5
T_naive,ENSG00000214160,ALG3
T_naive,ENSG00000185112,FAM43A
T_naive,ENSG00000242086,MUC20-OT1
T_naive,ENSG00000163961,RNF168
T_naive,ENSG00000131127,ZNF141
T_naive,ENSG00000196810,CTBP1-DT
T_naive,ENSG00000244459,AC147067.1
T_naive,ENSG00000013810,TACC3
T_naive,ENSG00000214367,HAUS3
T_naive,ENSG00000168824,NSG1
T_naive,ENSG00000179010,MRFAP1
T_naive,ENSG00000251580,LINC02482
T_naive,ENSG00000246526,LINC002481
T_naive,ENSG00000196526,AFAP1
T_naive,ENSG00000118579,MED28
T_naive,ENSG00000047662,FAM184B
T_naive,ENSG00000109689,STIM2
T_naive,ENSG00000035928,RFC1
T_naive,ENSG00000109814,UGDH
T_naive,ENSG00000124406,ATP8A1
T_naive,ENSG00000128039,SRD5A3
T_naive,ENSG00000128059,PPAT
T_naive,ENSG00000033178,UBA6
T_naive,ENSG00000156136,DCK
T_naive,ENSG00000138757,G3BP2
T_naive,ENSG00000138767,CNOT6L
T_naive,ENSG00000273156,AC124016.2
T_naive,ENSG00000251022,THAP9-AS1
T_naive,ENSG00000145287,PLAC8
T_naive,ENSG00000198189,HSD17B11
T_naive,ENSG00000248019,FAM13A-AS1
T_naive,ENSG00000197894,ADH5
T_naive,ENSG00000164032,H2AFZ
T_naive,ENSG00000109323,MANBA
T_naive,ENSG00000109332,UBE2D3
T_naive,ENSG00000145354,CISD2
T_naive,ENSG00000164039,BDH2
T_naive,ENSG00000005059,MCUB
T_naive,ENSG00000145365,TIFA
T_naive,ENSG00000269893,SNHG8
T_naive,ENSG00000145390,USP53
T_naive,ENSG00000164096,C4orf3
T_naive,ENSG00000164111,ANXA5
T_naive,ENSG00000164074,ABHD18
T_naive,ENSG00000172007,RAB33B
T_naive,ENSG00000109452,INPP4B
T_naive,ENSG00000151611,MMAA
T_naive,ENSG00000245954,LINC02273
T_naive,ENSG00000145428,RNF175
T_naive,ENSG00000171503,ETFDH
T_naive,ENSG00000181381,DDX60L
T_naive,ENSG00000137601,NEK1
T_naive,ENSG00000182552,RWDD4
T_naive,ENSG00000109762,SNX25
T_naive,ENSG00000164366,CCDC127
T_naive,ENSG00000180104,EXOC3
T_naive,ENSG00000112977,DAP
T_naive,ENSG00000154122,ANKH
T_naive,ENSG00000248874,C5orf17
T_naive,ENSG00000164327,RICTOR
T_naive,ENSG00000171522,PTGER4
T_naive,ENSG00000164172,MOCS2
T_naive,ENSG00000164512,ANKRD55
T_naive,ENSG00000068796,KIF2A
T_naive,ENSG00000049192,ADAMTS6
T_naive,ENSG00000123219,CENPK
T_naive,ENSG00000113593,PPWD1
T_naive,ENSG00000113595,TRIM23
T_naive,ENSG00000134056,MRPS36
T_naive,ENSG00000183474,GTF2H2C
T_naive,ENSG00000176928,GCNT4
T_naive,ENSG00000171530,TBCA
T_naive,ENSG00000164300,SERINC5
T_naive,ENSG00000228716,DHFR
T_naive,ENSG00000247572,CKMT2-AS1
T_naive,ENSG00000186468,RPS23
T_naive,ENSG00000153113,CAST
T_naive,ENSG00000164308,ERAP2
T_naive,ENSG00000248489,LINC02062
T_naive,ENSG00000129625,REEP5
T_naive,ENSG00000164219,PGGT1B
T_naive,ENSG00000173926,MARCH3
T_naive,ENSG00000164241,C5orf63
T_naive,ENSG00000158985,CDC42SE2
T_naive,ENSG00000170606,HSPA4
T_naive,ENSG00000113558,SKP1
T_naive,ENSG00000164615,CAMLG
T_naive,ENSG00000113658,SMAD5
T_naive,ENSG00000213523,SRA1
T_naive,ENSG00000131507,NDFIP1
T_naive,ENSG00000113712,CSNK1A1
T_naive,ENSG00000197043,ANXA6
